,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,distance
14712,15010,2,2015-06-30 00:27:11,2015-06-30 01:02:36,1,-73.78202819824217,40.64474868774414,-73.98041534423827,40.78409576416016,1,52.0,0.0,0.5,11.67,5.54,70.01,22.803244848549586
14716,15014,1,2015-06-29 02:55:31,2015-06-29 02:57:33,1,-73.99503326416014,40.742958068847656,-73.99578094482422,40.74408721923828,1,3.5,0.5,0.5,1.44,0.0,6.24,0.14051418673805657
14765,15067,1,2015-06-30 16:33:17,2015-06-30 16:40:41,1,-73.96153259277344,40.770069122314446,-73.97164916992188,40.7663459777832,2,6.5,1.0,0.5,0.0,0.0,8.3,0.9475188336186919
14783,15085,2,2015-06-29 03:27:02,2015-06-29 03:31:41,2,-74.00418853759764,40.751731872558594,-73.99085998535155,40.74546051025391,2,5.5,0.5,0.5,0.0,0.0,6.8,1.3221322577250743
14822,15124,2,2015-06-30 17:35:35,2015-06-30 17:48:11,1,-73.96852111816406,40.79920959472656,-73.93907928466798,40.804981231689446,1,10.5,1.0,0.5,2.46,0.0,14.76,2.5607155397608294
14844,15146,2,2015-06-29 19:49:43,2015-06-29 19:58:45,1,-73.96504974365233,40.75537872314453,-73.95614624023438,40.782020568847656,1,9.5,1.0,0.5,2.26,0.0,13.56,3.056811830392515
14951,15254,2,2015-06-30 23:55:18,2015-07-01 00:09:33,3,-73.9607696533203,40.781036376953125,-73.99101257324217,40.73957443237305,1,13.0,0.5,0.5,3.58,0.0,17.88,5.26887036299192
14963,15266,2,2015-06-29 23:00:07,2015-06-29 23:39:52,2,-73.77680969238281,40.64574813842773,-74.00373077392578,40.74820709228516,1,52.0,0.0,0.5,7.0,5.54,65.34,22.27294985302243
14970,15273,2,2015-06-29 12:24:32,2015-06-29 12:41:41,5,-73.99413299560547,40.74610137939453,-73.9890899658203,40.75837707519531,1,11.0,0.0,0.5,2.36,0.0,14.16,1.4300166703706187
14986,15289,1,2015-06-30 18:29:49,2015-06-30 18:33:26,1,-73.98005676269531,40.770671844482415,-73.96602630615233,40.77236557006836,1,5.5,1.0,0.5,1.0,0.0,8.3,1.196798127992739
14988,15291,2,2015-06-30 22:18:22,2015-06-30 22:37:27,2,-73.9859848022461,40.74665832519531,-73.97797393798828,40.783653259277344,1,15.5,0.5,0.5,3.36,0.0,20.16,4.169914448286713
14992,15295,1,2015-06-30 01:59:07,2015-06-30 02:21:53,1,-74.0021743774414,40.72808837890625,-73.94164276123048,40.830379486083984,1,28.5,0.5,0.5,5.95,0.0,35.75,12.467892062420344
15018,15323,1,2015-06-30 10:14:30,2015-06-30 10:41:45,2,-73.98255920410156,40.74251174926758,-74.00772857666014,40.722686767578125,1,19.5,0.0,0.5,1.0,0.0,21.3,3.059906726447897
15025,15331,2,2015-06-30 12:13:00,2015-06-30 12:22:44,2,-73.9424285888672,40.799015045166016,-73.93668365478516,40.81964111328125,2,9.0,0.0,0.5,0.0,0.0,9.8,2.344660997546599
15042,15348,2,2015-06-29 19:27:59,2015-06-29 19:50:46,1,-74.00108337402342,40.75183868408203,-73.98331451416014,40.75929641723633,2,16.0,1.0,0.5,0.0,0.0,17.8,1.7115945308926368
15068,15374,1,2015-06-30 23:26:23,2015-07-01 00:00:56,1,-74.00148010253906,40.7310676574707,-73.90679931640625,40.760112762451165,1,27.5,0.5,0.5,2.0,0.0,30.8,8.607953401688384
15095,15401,1,2015-06-30 22:16:58,2015-06-30 22:53:19,1,-73.97736358642578,40.75944519042969,-74.0062484741211,40.70656967163086,1,24.5,0.5,0.5,6.45,0.0,32.25,6.365315982930746
15106,15413,2,2015-06-29 16:17:16,2015-06-29 16:36:25,1,-73.9737548828125,40.750938415527344,-73.9798355102539,40.76730728149414,1,12.5,1.0,0.5,2.86,0.0,17.16,1.8914093329645014
15107,15414,1,2015-06-29 00:27:21,2015-06-29 00:30:02,2,-73.99686431884764,40.73707962036133,-73.99588012695312,40.73298263549805,2,4.0,0.5,0.5,0.0,0.0,5.3,0.4631949845646324
15108,15415,1,2015-06-30 23:37:04,2015-06-30 23:48:40,1,-73.98599243164062,40.7588348388672,-73.95195007324217,40.77825927734375,1,11.5,0.5,0.5,2.55,0.0,15.35,3.590546005117555
15125,15432,1,2015-06-30 14:58:29,2015-06-30 15:09:53,1,-73.98262023925781,40.75434112548828,-73.97349548339844,40.7578582763672,1,8.0,0.0,0.5,1.76,0.0,10.56,0.8626270530529717
15138,15445,1,2015-06-30 19:09:52,2015-06-30 19:37:50,2,-74.01013946533203,40.71202850341797,-73.96011352539062,40.72971725463867,1,21.5,1.0,0.5,2.0,0.0,25.3,4.6536106527251295
15158,15465,1,2015-06-29 11:09:29,2015-06-29 11:28:44,1,-73.93318176269531,40.85586166381836,-74.00360870361328,40.7594108581543,2,24.5,0.0,0.5,0.0,0.0,25.3,12.257689706561756
15166,15473,1,2015-06-30 08:02:31,2015-06-30 08:09:48,1,-73.96087646484375,40.76992416381836,-73.97535705566406,40.75976943969727,2,7.0,0.0,0.5,0.0,0.0,7.8,1.6625244854614536
15194,15502,2,2015-06-29 20:27:54,2015-06-29 20:46:01,2,-74.0151138305664,40.714134216308594,-73.97786712646483,40.68411636352539,1,17.0,0.5,0.5,2.0,0.0,20.3,4.584069141112452
15198,15506,2,2015-06-30 09:50:35,2015-06-30 09:55:55,4,-73.96588897705078,40.76232147216797,-73.95276641845702,40.76828384399414,2,6.0,0.0,0.5,0.0,0.0,6.8,1.2891708748684478
15244,15552,1,2015-06-30 22:56:07,2015-06-30 23:16:33,1,-73.86264038085938,40.768890380859375,-73.96233367919923,40.76959609985352,1,28.5,0.5,0.5,7.05,5.54,42.39,8.398473690502989
15253,15562,1,2015-06-29 19:05:24,2015-06-29 19:12:40,1,-73.96112823486328,40.76088333129882,-73.95098876953125,40.778667449951165,1,7.5,1.0,0.5,1.85,0.0,11.15,2.1546519539372486
15259,15568,2,2015-06-30 20:41:20,2015-06-30 20:49:40,3,-73.98294830322266,40.75659942626953,-73.96160888671875,40.7769012451172,2,8.5,0.5,0.5,0.0,0.0,9.8,2.886347848630077
15264,15573,1,2015-06-29 12:13:26,2015-06-29 12:34:25,1,-74.00707244873048,40.7048454284668,-73.9674072265625,40.76327896118164,1,21.5,0.0,0.5,4.0,0.0,26.3,7.308952633052345
15299,15608,1,2015-06-29 05:53:20,2015-06-29 05:57:56,1,-73.9522933959961,40.77212905883789,-73.97274017333984,40.74342346191406,1,8.5,0.5,0.5,1.0,0.0,10.8,3.628016231220695
15302,15611,1,2015-06-30 19:50:30,2015-06-30 20:13:36,1,-73.88525390625,40.77297592163086,-73.95201873779298,40.80917739868164,2,23.0,1.0,0.5,0.0,5.54,30.34,6.91558939709158
15338,15647,2,2015-06-30 12:40:53,2015-06-30 13:03:30,1,-73.97636413574217,40.7487907409668,-73.9833984375,40.75577545166016,2,14.0,0.0,0.5,0.0,0.0,14.8,0.9771896453639735
15348,15658,2,2015-06-30 20:43:43,2015-06-30 20:52:11,1,-73.96430206298828,40.75649642944336,-73.95773315429686,40.773563385009766,1,8.0,0.5,0.5,1.86,0.0,11.16,1.9773714051365885
15368,15678,1,2015-06-30 15:24:51,2015-06-30 15:53:13,1,-73.9920425415039,40.73805618286133,-73.95084381103516,40.77669525146485,1,20.5,0.0,0.5,4.25,0.0,25.55,5.524518485563911
15378,15688,2,2015-06-30 12:30:24,2015-06-30 12:37:01,2,-73.97366333007811,40.7635612487793,-73.98529052734375,40.75299072265625,2,6.5,0.0,0.5,0.0,0.0,7.3,1.5303861713166929
15381,15691,2,2015-06-29 17:40:55,2015-06-29 18:22:43,6,-73.78176879882812,40.64477157592773,-73.9863739013672,40.75128173828125,2,52.0,0.0,0.5,0.0,5.54,58.34,20.929969876725263
15415,15725,1,2015-06-30 08:50:09,2015-06-30 08:57:54,3,-73.98101043701173,40.7339324951172,-73.97171783447266,40.74648284912109,1,6.5,0.0,0.5,0.7,0.0,8.0,1.6006435424550118
15416,15726,2,2015-06-30 20:01:39,2015-06-30 20:09:37,1,-73.99259948730467,40.753223419189446,-73.98450469970702,40.74336624145508,1,7.0,0.5,0.5,1.5,0.0,9.8,1.2912788351855997
15454,15764,1,2015-06-30 11:09:02,2015-06-30 11:33:28,1,-73.95027160644531,40.673606872558594,-73.94891357421875,40.726165771484375,2,18.5,0.0,0.5,0.0,0.0,19.3,5.847239108643396
15481,15792,1,2015-06-29 11:54:07,2015-06-29 12:14:32,1,-73.87453460693358,40.77408599853516,-73.97256469726561,40.755672454833984,1,29.0,0.0,0.5,7.05,5.54,42.39,8.50872281314423
15482,15793,2,2015-06-29 12:12:00,2015-06-29 12:40:09,2,-74.00556182861328,40.740989685058594,-73.97522735595702,40.75027847290039,2,18.0,0.0,0.5,0.0,0.0,18.8,2.757169005051365
15493,15804,2,2015-06-30 15:15:04,2015-06-30 15:39:14,1,-74.00546264648438,40.725563049316406,-73.9798126220703,40.75635147094727,2,16.0,0.0,0.5,0.0,0.0,16.8,4.0497667309863035
15534,15845,1,2015-06-30 13:23:01,2015-06-30 13:30:45,1,-73.98499298095702,40.75336837768555,-73.98167419433594,40.76850128173828,1,7.0,0.0,0.5,1.55,0.0,9.35,1.7062956971755634
15553,15864,2,2015-06-29 17:32:05,2015-06-29 17:40:14,1,-74.00647735595702,40.71663665771485,-73.9935073852539,40.72439193725586,1,7.0,1.0,0.5,1.0,0.0,9.8,1.3926948011418947
15560,15871,1,2015-06-29 20:53:19,2015-06-29 21:07:05,1,-73.95592498779298,40.77216720581056,-73.92317962646483,40.76764297485352,1,15.0,0.5,0.5,2.0,0.0,18.3,2.8039506032227863
15562,15873,1,2015-06-30 13:27:48,2015-06-30 13:36:10,1,-73.98001861572266,40.781028747558594,-73.95777130126953,40.7791748046875,1,8.0,0.0,0.5,1.75,0.0,10.55,1.8851078587290138
15569,15880,2,2015-06-30 01:00:40,2015-06-30 01:02:04,5,-73.98822021484375,40.73173522949219,-73.98316955566406,40.73884582519531,2,4.0,0.5,0.5,0.0,0.0,5.3,0.8981895043919067
15572,15883,1,2015-06-30 14:39:25,2015-06-30 14:46:45,1,-73.99667358398438,40.75287628173828,-74.00361633300781,40.7327537536621,1,7.5,0.0,0.5,2.05,0.0,10.35,2.3134343569036
15576,15887,2,2015-06-30 19:27:43,2015-06-30 19:40:25,1,-74.01184844970702,40.70774459838867,-74.00347137451173,40.7251205444336,2,10.0,1.0,0.5,0.0,0.0,11.8,2.0577162719983932
15577,15888,1,2015-06-30 10:23:01,2015-06-30 10:30:32,2,-73.96217346191406,40.76784896850586,-73.97528076171875,40.761543273925774,2,7.0,0.0,0.5,0.0,0.0,7.8,1.3081488067701275
15579,15890,2,2015-06-29 06:14:31,2015-06-29 06:24:29,1,-74.00042724609375,40.73244857788086,-73.96318817138672,40.758419036865234,1,12.0,0.0,0.5,2.56,0.0,15.36,4.265247996833393
15581,15892,2,2015-06-29 18:58:59,2015-06-29 19:04:05,1,-74.00272369384764,40.72489929199219,-74.00668334960938,40.730751037597656,2,5.5,1.0,0.5,0.0,0.0,7.3,0.7314755549641105
15586,15897,1,2015-06-30 16:08:47,2015-06-30 16:31:58,1,-74.00997924804686,40.721004486083984,-73.9759063720703,40.75328826904297,1,23.5,1.0,0.5,2.0,0.0,27.3,4.597952682421537
15601,15912,1,2015-06-30 08:13:13,2015-06-30 08:19:02,1,-73.9462890625,40.780548095703125,-73.95325469970702,40.76744842529297,1,6.0,0.0,0.5,1.0,0.0,7.8,1.5707731119652992
15613,15924,2,2015-06-30 17:32:37,2015-06-30 17:45:36,1,-73.97441101074217,40.7508659362793,-73.99469757080078,40.72802734375,1,11.0,1.0,0.5,3.2,0.0,16.0,3.062081959349543
15624,15935,2,2015-06-30 18:04:34,2015-06-30 18:34:38,1,-73.98639678955078,40.76274871826172,-73.97991180419923,40.74256896972656,1,18.0,1.0,0.5,3.96,0.0,23.76,2.3101445673284675
15628,15939,1,2015-06-30 23:18:29,2015-06-30 23:30:27,1,-73.97281646728516,40.754676818847656,-73.97433471679686,40.77984237670898,2,11.0,0.5,0.5,0.0,0.0,12.3,2.8020813145182535
15648,15959,1,2015-06-29 18:13:57,2015-06-29 18:22:15,1,-73.98776245117188,40.74089431762695,-73.99791717529298,40.74125289916992,2,7.0,1.0,0.5,0.0,0.0,8.8,0.8567197063631313
15688,16000,2,2015-06-29 14:06:03,2015-06-29 14:17:55,2,-73.99842834472656,40.71992111206056,-73.98834228515625,40.73963165283203,1,9.5,0.0,0.5,2.06,0.0,12.36,2.351461410618106
15692,16004,1,2015-06-29 13:33:38,2015-06-29 13:41:55,1,-73.99054718017578,40.75749588012695,-73.99156951904298,40.7513427734375,2,7.0,0.0,0.5,0.0,0.0,7.8,0.6898085969068928
15700,16012,1,2015-06-30 11:10:11,2015-06-30 11:21:10,3,-73.98120880126953,40.759910583496094,-73.97978210449217,40.75155258178711,2,8.5,0.0,0.5,0.0,0.0,9.3,0.9373986393906067
15702,16014,1,2015-06-30 02:21:11,2015-06-30 02:31:32,1,-74.00404357910156,40.74210357666016,-73.98005676269531,40.740825653076165,1,9.0,0.5,0.5,1.0,0.0,11.3,2.026471700533192
15707,16019,2,2015-06-30 21:35:17,2015-06-30 21:59:34,2,-74.00526428222656,40.74016189575195,-73.93695068359375,40.67618179321289,1,23.5,0.5,0.5,4.96,0.0,29.76,9.155431629152629
15712,16024,2,2015-06-29 20:53:09,2015-06-29 21:06:26,1,-73.98545074462889,40.778541564941406,-73.9840316772461,40.74860000610352,2,12.0,0.5,0.5,0.0,0.0,13.3,3.332539686188286
15719,16031,1,2015-06-30 10:50:44,2015-06-30 10:59:33,1,-73.97148132324217,40.78167343139648,-73.95382690429686,40.77195358276367,2,8.0,0.0,0.5,0.0,0.0,8.8,1.8385081845173874
15728,16040,1,2015-06-29 10:51:36,2015-06-29 11:00:59,2,-73.99083709716798,40.76087951660156,-73.9963150024414,40.74685287475586,2,8.0,0.0,0.5,0.0,0.0,8.8,1.6270232705633796
15743,16057,2,2015-06-29 05:49:04,2015-06-29 05:55:27,1,-73.96636962890625,40.75739669799805,-73.98241424560547,40.74566650390625,1,7.0,0.5,0.5,1.66,0.0,9.96,1.8788650799322932
15758,16072,1,2015-06-30 08:18:54,2015-06-30 08:22:05,1,-73.99073791503906,40.74972152709961,-73.99057006835938,40.742000579833984,2,4.5,0.0,0.5,0.0,0.0,5.3,0.8589161458002446
15766,16080,1,2015-06-29 00:10:00,2015-06-29 00:19:17,1,-73.99119567871094,40.77465057373047,-73.99016571044923,40.757606506347656,2,8.0,0.5,0.5,0.0,0.0,9.3,1.897793347533866
15772,16086,2,2015-06-30 21:12:41,2015-06-30 21:22:49,1,-73.9824676513672,40.76197814941406,-73.9759063720703,40.751441955566406,2,8.0,0.5,0.5,0.0,0.0,9.3,1.2957832230234507
15792,16106,2,2015-06-29 11:19:41,2015-06-29 11:34:00,1,-73.96217346191406,40.76778793334961,-73.99368286132812,40.75973129272461,2,11.5,0.0,0.5,0.0,0.0,12.3,2.8017345915981715
15812,16126,2,2015-06-30 08:15:52,2015-06-30 08:26:21,2,-74.00109100341797,40.73147201538086,-73.9772186279297,40.72652053833008,2,8.5,0.0,0.5,0.0,0.0,9.3,2.086223562664954
15822,16136,2,2015-06-30 21:53:48,2015-06-30 22:09:18,4,-73.97879791259764,40.78182601928711,-73.97169494628906,40.757976531982415,1,13.0,0.5,0.5,2.86,0.0,17.16,2.719416848540449
15849,16163,1,2015-06-29 13:12:52,2015-06-29 13:17:20,2,-73.97823333740233,40.74562454223633,-73.98217010498048,40.748477935791016,1,4.5,0.0,0.5,1.0,0.0,6.3,0.45911248523638587
15864,16178,2,2015-06-29 10:22:36,2015-06-29 10:43:45,6,-74.00433349609375,40.74784851074219,-74.00907135009764,40.70692825317384,1,18.0,0.0,0.5,3.76,0.0,22.56,4.5690405241034195
15868,16182,2,2015-06-29 08:52:03,2015-06-29 09:04:55,5,-73.9549789428711,40.779911041259766,-73.97457885742188,40.7620506286621,1,10.0,0.0,0.5,3.0,0.0,13.8,2.583130594943794
15873,16187,2,2015-06-30 23:22:43,2015-06-30 23:28:33,1,-73.98434448242188,40.7425537109375,-74.00132751464844,40.75139236450195,1,6.5,0.5,0.5,1.5,0.0,9.3,1.7362702715165466
15908,16222,2,2015-06-29 12:41:44,2015-06-29 12:54:18,6,-73.9720230102539,40.75762176513672,-73.97676849365233,40.76290130615234,1,9.0,0.0,0.5,1.96,0.0,11.76,0.7104241348337372
15912,16226,1,2015-06-29 17:34:51,2015-06-29 18:15:30,1,-73.98226928710938,40.74591445922852,-73.97366333007811,40.78962707519531,2,25.5,1.0,0.5,0.0,0.0,27.3,4.9158991970346495
15917,16231,2,2015-06-29 08:16:23,2015-06-29 08:29:08,1,-73.97683715820312,40.78009033203125,-73.95946502685547,40.76344299316406,1,10.5,0.0,0.5,2.26,0.0,13.56,2.360117090244047
15932,16246,2,2015-06-29 04:50:22,2015-06-29 04:53:27,1,-74.0002670288086,40.746089935302734,-73.99053955078125,40.75739669799805,2,5.5,0.5,0.5,0.0,0.0,6.8,1.5011705178828518
15941,16255,1,2015-06-30 07:25:52,2015-06-30 08:25:28,1,-73.78893280029298,40.64165878295898,-73.97559356689453,40.758838653564446,1,52.0,0.0,0.5,11.65,5.54,69.99,20.43638554640493
15950,16264,1,2015-06-29 23:35:28,2015-06-29 23:39:07,1,-73.95658874511719,40.78669738769531,-73.95946502685547,40.774322509765625,1,5.5,0.5,0.5,1.35,0.0,8.15,1.397611410723071
15972,16287,2,2015-06-30 17:57:16,2015-06-30 18:10:01,1,-73.99610137939453,40.721981048583984,-73.99452209472656,40.74049758911133,2,10.0,1.0,0.5,0.0,0.0,11.8,2.063888901380255
15976,16291,1,2015-06-30 16:29:30,2015-06-30 16:41:42,1,-73.94803619384764,40.782752990722656,-73.97377014160156,40.792007446289055,1,10.0,1.0,0.5,2.35,0.0,14.15,2.399261262311201
15977,16292,2,2015-06-30 22:45:32,2015-06-30 22:48:47,1,-73.94454193115233,40.71525573730469,-73.9432373046875,40.70872116088867,1,4.0,0.5,0.5,1.06,0.0,6.36,0.7351157734323168
15983,16298,2,2015-06-29 18:24:16,2015-06-29 18:33:10,1,-73.95985412597656,40.77942657470703,-73.95938873291014,40.77438354492188,1,7.5,1.0,0.5,1.86,0.0,11.16,0.5623034009742018
15999,16314,2,2015-06-29 09:57:24,2015-06-29 10:33:36,1,-73.9762191772461,40.76552963256836,-73.79163360595702,40.64474868774414,1,52.0,0.0,0.5,11.67,5.54,70.01,20.560488679610334
16018,16333,2,2015-06-29 11:13:51,2015-06-29 11:34:04,1,-73.97496795654298,40.76131820678711,-73.98726654052734,40.72531127929688,2,15.0,0.0,0.5,0.0,0.0,15.8,4.13697578664403
16025,16340,2,2015-06-30 07:46:28,2015-06-30 08:04:05,1,-73.8710708618164,40.773868560791016,-73.85572814941406,40.69084930419922,2,26.5,0.0,0.5,0.0,0.0,27.3,9.324328029194838
16048,16363,1,2015-06-30 21:00:26,2015-06-30 21:21:37,1,-73.9954605102539,40.76125717163086,-73.95124816894531,40.724433898925774,1,18.0,0.5,0.5,4.96,5.54,29.8,5.536993898679101
16059,16374,2,2015-06-30 19:59:08,2015-06-30 20:21:41,1,-73.9949722290039,40.76025390625,-73.98461151123048,40.7563705444336,1,15.0,1.0,0.5,4.2,0.0,21.0,0.9739478463139566
16066,16381,2,2015-06-29 22:49:07,2015-06-29 23:01:52,1,-73.97887420654298,40.764286041259766,-74.0039520263672,40.7363166809082,1,11.5,0.5,0.5,1.5,0.0,14.3,3.760833136458611
